v0,v1,v2,v3
1.548921,-0.000083,1.548336,-0.000040
1.543980,-0.000070,1.543332,-0.000045
1.542417,-0.000046,1.541918,-0.000047
1.546097,-0.000063,1.545659,-0.000051
1.547325,-0.000056,1.546795,-0.000069
1.547667,-0.000059,1.547096,-0.000056
1.548042,-0.000063,1.547523,-0.000038
1.547979,-0.000055,1.547453,-0.000045
1.545138,-0.000052,1.544537,-0.000061
1.544465,-0.000070,1.543958,-0.000053
1.547711,-0.000068,1.547284,-0.000046
1.549011,-0.000041,1.548501,-0.000044
1.546046,-0.000064,1.545409,-0.000046
1.544411,-0.000056,1.543911,-0.000052
1.545935,-0.000058,1.545441,-0.000045
1.543688,-0.000065,1.543127,-0.000052
1.544400,-0.000041,1.543990,-0.000070
1.549001,-0.000068,1.548600,-0.000050
1.549110,-0.000063,1.548547,-0.000059
1.544437,-0.000067,1.543811,-0.000063
1.546647,-0.000078,1.546232,-0.000051
1.548448,-0.000061,1.547875,-0.000076
1.543286,-0.000040,1.542628,-0.000039
1.546592,-0.000048,1.546209,-0.000051
1.550685,-0.000074,1.550199,-0.000086
1.545546,-0.000055,1.544844,-0.000035
1.542944,-0.000059,1.542412,-0.000040
1.546959,-0.000058,1.546547,-0.000050
1.544477,-0.000058,1.543859,-0.000053
1.543023,-0.000062,1.542567,-0.000076
1.549579,-0.000060,1.549266,-0.000046
1.549503,-0.000063,1.548905,-0.000043
1.544284,-0.000056,1.543606,-0.000056
1.545081,-0.000061,1.544642,-0.000065
1.547582,-0.000056,1.547079,-0.000066
1.544715,-0.000065,1.544122,-0.000054
1.546698,-0.000080,1.546327,-0.000067
1.550079,-0.000069,1.549532,-0.000059
1.544833,-0.000052,1.544150,-0.000052
1.541645,-0.000056,1.541126,-0.000060
1.544850,-0.000064,1.544388,-0.000047
1.546152,-0.000069,1.545637,-0.000039
1.546323,-0.000058,1.545801,-0.000054
1.548479,-0.000059,1.547969,-0.000060
1.547608,-0.000056,1.547025,-0.000057
1.544782,-0.000065,1.544204,-0.000057
1.544667,-0.000083,1.544168,-0.000051
1.546461,-0.000048,1.546001,-0.000037
1.546671,-0.000049,1.546134,-0.000049
1.546614,-0.000054,1.546124,-0.000076
1.546493,-0.000063,1.545975,-0.000065
1.545621,-0.000062,1.545042,-0.000048
1.544345,-0.000068,1.543801,-0.000049
1.543834,-0.000088,1.543324,-0.000066
1.546934,-0.000051,1.546514,-0.000054
1.548516,-0.000055,1.547979,-0.000046
1.546034,-0.000067,1.545454,-0.000046
1.545156,-0.000060,1.544663,-0.000052
1.547040,-0.000049,1.546538,-0.000066
1.545632,-0.000043,1.545057,-0.000045
1.545268,-0.000049,1.544790,-0.000065
1.549164,-0.000067,1.548716,-0.000052
1.547046,-0.000071,1.546381,-0.000047
1.543679,-0.000046,1.543134,-0.000077
1.545662,-0.000072,1.545221,-0.000051
1.545465,-0.000059,1.544905,-0.000047
1.542498,-0.000051,1.541929,-0.000058
1.546218,-0.000084,1.545839,-0.000079
1.550578,-0.000059,1.550118,-0.000057
1.546020,-0.000059,1.545306,-0.000048
1.543706,-0.000068,1.543171,-0.000064
1.546483,-0.000070,1.546031,-0.000053
1.545855,-0.000059,1.545270,-0.000057
1.544731,-0.000069,1.544187,-0.000050
1.548728,-0.000076,1.548289,-0.000055
1.546786,-0.000048,1.546097,-0.000047
1.540755,-0.000066,1.540111,-0.000047
1.543641,-0.000058,1.543307,-0.000056
1.546626,-0.000076,1.546110,-0.000056
1.545016,-0.000077,1.544463,-0.000066
1.546756,-0.000044,1.546317,-0.000070
1.548549,-0.000045,1.548024,-0.000060
1.544679,-0.000067,1.544076,-0.000061
1.542730,-0.000075,1.542214,-0.000056
1.544952,-0.000048,1.544502,-0.000029
1.547038,-0.000067,1.546534,-0.000060
1.546863,-0.000057,1.546337,-0.000066
1.546000,-0.000055,1.545485,-0.000047
1.544926,-0.000059,1.544383,-0.000053
1.543065,-0.000062,1.542503,-0.000038
1.542755,-0.000060,1.542252,-0.000055
1.545142,-0.000049,1.544708,-0.000079
1.547773,-0.000065,1.547313,-0.000062
1.546285,-0.000057,1.545701,-0.000056
1.545171,-0.000062,1.544608,-0.000063
1.546138,-0.000058,1.545663,-0.000056
1.545241,-0.000065,1.544710,-0.000050
1.543037,-0.000060,1.542472,-0.000055
1.547390,-0.000074,1.547022,-0.000061
1.550433,-0.000067,1.549903,-0.000044
1.544316,-0.000055,1.543599,-0.000047
1.543576,-0.000065,1.543096,-0.000045
1.545412,-0.000052,1.544865,-0.000062
1.543124,-0.000063,1.542521,-0.000067
1.544532,-0.000062,1.544138,-0.000054
1.550972,-0.000078,1.550570,-0.000074
1.548884,-0.000058,1.548246,-0.000039
1.543707,-0.000085,1.543111,-0.000058
1.546748,-0.000081,1.546273,-0.000078
1.546645,-0.000037,1.546051,-0.000060
1.543310,-0.000061,1.542736,-0.000059
1.548064,-0.000052,1.547740,-0.000032
1.551372,-0.000063,1.550841,-0.000052
1.543640,-0.000063,1.542874,-0.000047
1.542392,-0.000057,1.541918,-0.000052
1.546336,-0.000056,1.545861,-0.000068
1.545261,-0.000068,1.544692,-0.000039
1.546284,-0.000066,1.545851,-0.000060
1.550116,-0.000055,1.549658,-0.000063
1.547494,-0.000067,1.546847,-0.000038
1.543242,-0.000062,1.542654,-0.000048
1.546322,-0.000064,1.545918,-0.000055
1.548080,-0.000058,1.547617,-0.000045
1.546457,-0.000047,1.545871,-0.000051
1.547145,-0.000042,1.546622,-0.000060
1.548772,-0.000065,1.548235,-0.000058
1.544732,-0.000061,1.544065,-0.000050
1.542099,-0.000044,1.541558,-0.000054
1.544299,-0.000060,1.543836,-0.000076
1.545883,-0.000075,1.545376,-0.000062
1.547182,-0.000079,1.546679,-0.000047
1.547371,-0.000053,1.546875,-0.000064
1.547313,-0.000063,1.546773,-0.000063
1.544431,-0.000052,1.543835,-0.000053
1.543599,-0.000054,1.543098,-0.000057
1.546520,-0.000074,1.546074,-0.000057
1.547917,-0.000045,1.547442,-0.000073
1.546314,-0.000072,1.545761,-0.000064
1.544699,-0.000064,1.544103,-0.000064
1.545087,-0.000037,1.544583,-0.000074
1.542779,-0.000050,1.542249,-0.000031
1.541933,-0.000056,1.541435,-0.000058
1.546614,-0.000066,1.546231,-0.000082
1.548868,-0.000063,1.548307,-0.000048
1.544159,-0.000074,1.543501,-0.000056
1.543820,-0.000059,1.543357,-0.000062
1.545720,-0.000053,1.545207,-0.000055
1.542396,-0.000077,1.541764,-0.000055
1.545205,-0.000058,1.544816,-0.000051
1.550432,-0.000068,1.549988,-0.000056
1.545504,-0.000071,1.544788,-0.000058
1.540959,-0.000058,1.540395,-0.000048
1.544522,-0.000076,1.544076,-0.000057
1.544174,-0.000064,1.543629,-0.000043
1.542253,-0.000070,1.541746,-0.000047
1.546383,-0.000064,1.545976,-0.000061
1.547805,-0.000066,1.547287,-0.000047
1.543233,-0.000081,1.542624,-0.000048
1.543372,-0.000043,1.542914,-0.000057
1.546899,-0.000053,1.546407,-0.000058
1.544757,-0.000068,1.544164,-0.000057
1.545320,-0.000060,1.544918,-0.000058
1.547766,-0.000068,1.547343,-0.000057
1.545034,-0.000072,1.544421,-0.000064
1.542042,-0.000058,1.541478,-0.000051
1.543210,-0.000044,1.542746,-0.000049
1.544776,-0.000073,1.544232,-0.000077
1.544521,-0.000047,1.543973,-0.000059
1.546310,-0.000048,1.545844,-0.000048
